x1,x2,gamma1,gamma2
0.0,1.0,inf,1.0
0.034482758620689655,0.9655172413793104,6.739688480621464e+229,1.0020429002095363
0.06896551724137931,0.9310344827586207,2.6690966219328104e+53,1.0088177992742324
0.10344827586206896,0.896551724137931,1.0440714795629542e+22,1.0215302775783552
0.13793103448275862,0.8620689655172413,282568687621.02405,1.0418104322947284
0.1724137931034483,0.8275862068965517,5677377.634377766,1.0719125088556178
0.20689655172413793,0.7931034482758621,20307.590268558997,1.1150337662554726
0.24137931034482757,0.7586206896551724,786.3067148561463,1.1758408057751564
0.27586206896551724,0.7241379310344828,104.70761794795803,1.2613714059475172
0.3103448275862069,0.6896551724137931,28.031624894526114,1.3826473071194796
0.3448275862068966,0.6551724137931034,11.435813886789138,1.5577045516815502
0.3793103448275862,0.6206896551724138,6.094812603546634,1.8176252914489546
0.41379310344827586,0.5862068965517242,3.875549658109485,2.219388780574535
0.4482758620689655,0.5517241379310345,2.780095298359944,2.8755673675094915
0.48275862068965514,0.5172413793103449,2.170315283598947,4.030045949593273
0.5172413793103449,0.48275862068965514,1.800384044139776,6.276011667137301
0.5517241379310345,0.4482758620689655,1.56143530997059,11.287192084700756
0.5862068965517241,0.4137931034482759,1.3998039343638888,24.806633844013874
0.6206896551724138,0.3793103448275862,1.2867032580887523,72.55156284039388
0.6551724137931034,0.3448275862068966,1.2056039074621865,322.4667402791155
0.6896551724137931,0.31034482758620685,1.1464698207156212,2700.6143628398186
0.7241379310344828,0.27586206896551724,1.10291776713806,61389.862829014804
0.7586206896551724,0.24137931034482762,1.0707258434523965,7305087.875924606
0.7931034482758621,0.2068965517241379,1.0470071153313518,16245976435.77802
0.8275862068965517,0.1724137931034483,1.0297302502701529,1.02289670791871e+16
0.8620689655172413,0.13793103448275867,1.01743016289131,1.3912498129507422e+27
0.896551724137931,0.10344827586206895,1.0090271878905197,1.5579220935952057e+52
0.9310344827586207,0.06896551724137934,1.003710570889656,4.3678822591217776e+126
0.9655172413793103,0.034482758620689724,1.0008613401282895,inf
1.0,0.0,1.0,inf
